"Species,Edge"
"American beech,0.3738738739"
"ostrya,0.1711711712"
"witch-hazel,0.0945945946"
"carpinus,0.0720720721"
"black oak,0.0495495495"
"red maple,0.0405405405"
"American elm,0.036036036"
"juneberry,0.0315315315"
"red oak,0.0225225225"
"white oak,0.0225225225"
"white ash,0.018018018"
"basswood,0.0135135135"
"unknown,0.0135135135"
"swamp oak,0.009009009"
"chestnut oak,0.0045045045"
"eastern hemlock,0.0045045045"
"quaking aspen,0.0045045045"
"sassafrass,0.0045045045"
"shagbark hickory,0.0045045045"
"sugar maple,0.0045045045"
"sweet birch,0.0045045045"
"bigtooth aspen,"
"butternut,"
"pignut hickory,"
