"Species,Interior"
"American beech,0.3430656934"
"ostrya,0.2919708029"
"sugar maple,0.0656934307"
"carpinus,0.0583941606"
"eastern hemlock,0.0583941606"
"sweet birch,0.0510948905"
"juneberry,0.0364963504"
"black oak,0.0145985401"
"pignut hickory,0.0145985401"
"unknown,0.0145985401"
"witch-hazel,0.0145985401"
"bigtooth aspen,0.0072992701"
"butternut,0.0072992701"
"red maple,0.0072992701"
"red oak,0.0072992701"
"sassafrass,0.0072992701"
"American elm,"
"basswood,"
"chestnut oak,"
"quaking aspen,"
"shagbark hickory,"
"swamp oak,"
"white ash,"
"white oak,"
